Code,Actual,Predicted
GUNA,1,2
GOLF,0,0
LABS,1,0
ISEA,1,2
PART,0,2
BLES,0,0
SPRE,0,0
BATR,2,2
SOLA,1,0
DATA,1,2
MHKI,3,0
ATLA,1,0
AREA,2,2
VISI,0,0
LIVE,0,0
BAIK,2,2
HYGN,0,2
MKAP,1,0
MEJA,2,2
ALII,0,0
MPIX,2,2
TOSK,2,2
UNTD,2,0
SMGA,0,0
GRPH,2,2
MSJA,0,0
NICE,0,0
ACRO,2,2
SMLE,2,2
CGAS,1,2
MANG,2,2
ASLI,2,0
SURI,2,0
AYAM,2,0
MSTI,2,2
IKPM,2,2
RGAS,2,2
UDNG,2,2
LOPI,2,2
PTPS,2,2
KOKA,2,2
BREN,3,0
IOTF,2,2
KOCI,2,2
STRK,3,0
AEGS,2,2
BABY,2,2
RSCH,0,2
LMAX,0,2
GRIA,2,2
FOLK,2,2
PPRI,2,2
CYBR,1,2
HUMI,0,0
MSIE,2,2
ERAL,2,0
HBAT,2,2
MUTU,0,0
CNMA,0,0
RMKO,0,0
MAHA,1,0
INET,1,2
TGUK,0,0
CRSN,2,2
WIDI,0,2
GRPM,2,2
AMMN,2,0
VKTR,0,0
RELF,0,2
KLAS,2,2
MAXI,2,2
MPXL,0,2
JATI,1,2
RAAM,3,0
DOOH,2,2
TYRE,2,2
SMIL,0,0
AWAN,3,2
MENN,2,2
PIPA,0,0
NCKL,0,0
GTRA,1,2
HAJJ,0,0
NSSS,2,0
CUAN,3,0
SAGE,0,2
TRON,0,0
PTMP,0,0
BDKR,0,0
FUTR,0,2
PGEO,2,2
KING,2,2
CHIP,0,2
HALO,0,0
VAST,2,2
HILL,0,0
PACK,2,2
IRSX,2,2
FWCT,2,2
NAYZ,2,2
PEVE,0,2
LAJU,0,0
BMBL,2,2
CBPE,0,2
SOUL,2,2
SUNI,2,2
WINE,1,2
ELIT,0,2
BEER,0,0
CBRE,0,0
VTNY,2,0
PADA,0,0
MMIX,0,2
ISAP,2,0
BELI,2,0
KETR,2,2
ZATA,3,0
KDTN,0,2
NINE,2,2
MKTR,0,0
PRAY,2,2
CBUT,0,0
PDPP,2,2
BSBK,3,2
OMED,0,0
COAL,3,0
MEDS,1,2
BUAH,0,0
EURO,2,2
CRAB,0,2
KLIN,2,2
KKES,0,2
TOOL,0,2
RAFI,0,0
ELPI,0,0
JARR,0,0
RCCC,2,2
AMMS,2,2
KRYA,2,2
AXIO,0,0
HATM,0,0
DEWI,0,0
GULA,2,2
CHEM,2,2
TRGU,3,0
SWID,2,2
ASHA,3,2
OLIV,2,2
IBOS,0,0
WINR,1,2
MTMH,0,0
TLDN,2,0
GOTO,2,2
SICO,2,2
WIRG,3,0
BIKE,0,0
STAA,0,0
NANO,0,0
SMKM,2,0
NTBK,2,0
ENAK,2,2
BAUT,1,0
ASLC,0,0
NETV,3,0
SEMA,0,0
ADMR,3,0
IPPE,1,0
DRMA,0,0
OBMD,2,0
NASI,0,2
BSML,0,0
AVIA,2,0
CMRY,2,0
RMKE,0,0
WMPP,2,0
WGSH,0,0
DEPO,0,0
TAYS,2,0
BINO,2,0
