Code,Actual,Predicted,Error,NegativeError,SquaredNError
GUNA,116.0,20.250000000000004,95.75,0.0,0.0
GOLF,21.0,20.250000000000004,0.7499999999999964,0.0,0.0
LABS,88.23529411764706,20.24999995204955,67.98529416559751,0.0,0.0
ISEA,98.4,20.250000000000004,78.15,0.0,0.0
PART,22.857142857142858,20.250000000000004,2.607142857142854,0.0,0.0
BLES,53.00546448087432,20.250000000000004,32.75546448087432,0.0,0.0
SPRE,40.8,20.250000000000004,20.549999999999994,0.0,0.0
BATR,-6.363636363636363,20.05,-26.413636363636364,26.413636363636364,697.6801859504133
SOLA,149.0909090909091,20.250000000000004,128.8409090909091,0.0,0.0
DATA,143.61702127659575,20.150000000000002,123.46702127659574,0.0,0.0
MHKI,211.25,20.250000000000004,191.0,0.0,0.0
ATLA,164.0,20.250000000000004,143.75,0.0,0.0
AREA,-4.580152671755725,20.05,-24.630152671755724,24.630152671755724,606.6444206339957
VISI,14.166666666666666,20.05,-5.883333333333335,5.883333333333335,34.613611111111126
LIVE,26.351351351351347,20.250000000000004,6.101351351351344,0.0,0.0
BAIK,-50.0,20.150000000000002,-70.15,70.15,4921.022500000001
HYGN,24.82758620689655,20.150000000000002,4.6775862068965495,0.0,0.0
MKAP,131.30434782608694,20.250000000000004,111.05434782608694,0.0,0.0
MEJA,5.825242718446602,20.150000000000002,-14.3247572815534,14.3247572815534,205.19867117541713
ALII,52.20588235294118,20.150000000000002,32.05588235294118,0.0,0.0
MPIX,-44.40298507462687,20.05,-64.45298507462687,64.45298507462687,4154.187285030073
TOSK,-20.8,20.05,-40.85,40.85,1668.7225
UNTD,-26.666666666666668,20.05,-46.71666666666667,46.71666666666667,2182.4469444444444
SMGA,15.23809523809524,20.05,-4.81190476190476,4.81190476190476,23.154427437641704
GRPH,-3.883495145631068,20.150000000000002,-24.033495145631072,24.033495145631072,577.6088889150723
MSJA,29.33333333333333,20.250000000000004,9.083333333333325,0.0,0.0
NICE,27.85388127853881,20.250000000000004,7.6038812785388075,0.0,0.0
ACRO,4.62962962962963,20.05,-15.420370370370371,15.420370370370371,237.78782235939644
SMLE,8.571428571428571,20.05,-11.47857142857143,11.47857142857143,131.75760204081635
CGAS,130.76923076923077,20.150000000000002,110.61923076923077,0.0,0.0
MANG,-28.000000000000004,20.150000000000002,-48.150000000000006,48.150000000000006,2318.4225000000006
ASLI,-33.0,20.053421811831168,-53.05342181183117,53.05342181183117,2814.6655659440835
SURI,1.1764705882352942,20.05,-18.873529411764707,18.873529411764707,356.2101124567475
AYAM,11.0,20.05,-9.05,9.05,81.90250000000002
MSTI,3.321033210332104,20.05,-16.728966789667897,16.728966789667897,279.8583298498114
IKPM,6.666666666666667,20.05,-13.383333333333333,13.383333333333333,179.1136111111111
RGAS,-5.0,20.05,-25.05,25.05,627.5025
UDNG,-2.0,20.05,-22.05,22.05,486.20250000000004
LOPI,-14.000000000000002,20.05,-34.050000000000004,34.050000000000004,1159.4025000000004
PTPS,-40.4040404040404,20.05,-60.4540404040404,60.4540404040404,3654.691001173349
KOKA,0.78125,20.05,-19.26875,19.26875,371.28472656250005
BREN,202.5641025641025,20.250000000000004,182.3141025641025,0.0,0.0
IOTF,11.0,20.150000000000002,-9.150000000000002,9.150000000000002,83.72250000000004
KOCI,-38.333333333333336,20.05,-58.38333333333334,58.38333333333334,3408.613611111112
STRK,280.0,20.250000000000004,259.75,0.0,0.0
AEGS,-24.0,20.150000000000002,-44.150000000000006,44.150000000000006,1949.2225000000005
BABY,1.5037593984962403,20.05,-18.54624060150376,18.54624060150376,343.9630404488666
RSCH,20.0,20.1,-0.10000000000000142,0.10000000000000142,0.010000000000000285
LMAX,46.0,20.250000000000004,25.749999999999996,0.0,0.0
GRIA,3.333333333333333,20.05,-16.71666666666667,16.71666666666667,279.4469444444445
FOLK,-7.000000000000001,20.05,-27.05,27.05,731.7025
PPRI,-39.285714285714285,20.05,-59.33571428571429,59.33571428571429,3520.7269897959186
CYBR,176.0,20.250000000000004,155.75,0.0,0.0
HUMI,51.0,20.250000000000004,30.749999999999996,0.0,0.0
MSIE,-35.0,20.05,-55.05,55.05,3030.5024999999996
ERAL,-3.589743589743589,20.05,-23.63974358974359,23.63974358974359,558.837476988823
HBAT,-28.703703703703702,20.05,-48.75370370370371,48.75370370370371,2376.9236248285324
MUTU,26.85185185185185,20.250000000000004,6.601851851851848,0.0,0.0
CNMA,17.77777777777778,20.05,-2.272222222222222,2.272222222222222,5.162993827160493
RMKO,25.555555555555557,20.250000000000004,5.305555555555554,0.0,0.0
MAHA,135.59322033898303,20.250000000000004,115.34322033898303,0.0,0.0
INET,127.72277227722772,20.250000000000004,107.47277227722772,0.0,0.0
TGUK,30.0,20.250000000000004,9.749999999999996,0.0,0.0
CRSN,-3.2,20.05,-23.25,23.25,540.5625
WIDI,16.0,20.05,-4.050000000000001,4.050000000000001,16.402500000000007
GRPM,-25.833333333333336,20.150000000000002,-45.983333333333334,45.983333333333334,2114.4669444444444
AMMN,4.129793510324483,20.150000000000002,-16.02020648967552,16.02020648967552,256.64701597184165
VKTR,16.0,20.150000000000002,-4.150000000000002,4.150000000000002,17.222500000000018
RELF,56.66666666666666,20.150000000000002,36.51666666666665,0.0,0.0
KLAS,0.684931506849315,20.150000000000002,-19.46506849315069,19.46506849315069,378.8888914430476
MAXI,-38.0,20.049999999980948,-58.04999999998095,58.04999999998095,3369.802499997788
MPXL,25.925925925925924,20.25,5.675925925925924,0.0,0.0
JATI,120.0,20.250000000000004,99.75,0.0,0.0
RAAM,201.28205128205127,20.250000000000004,181.03205128205127,0.0,0.0
DOOH,4.0,20.05,-16.05,16.05,257.6025
TYRE,10.144927536231885,20.05,-9.905072463768116,9.905072463768116,98.11046051249737
SMIL,48.0,20.150000000000002,27.849999999999998,0.0,0.0
AWAN,270.0,20.250000000000004,249.75,0.0,0.0
MENN,-25.64102564102564,20.150000000000002,-45.79102564102564,45.79102564102564,2096.818029257068
PIPA,76.19047619047619,20.250000000000004,55.94047619047619,0.0,0.0
NCKL,17.599999999999998,20.05,-2.450000000000003,2.450000000000003,6.002500000000014
GTRA,86.66666666666667,20.250000000000004,66.41666666666667,0.0,0.0
HAJJ,42.85714285714285,20.150000000000002,22.707142857142845,0.0,0.0
NSSS,6.299212598425196,20.05,-13.750787401574804,13.750787401574804,189.08415416330837
CUAN,200.0,20.250000000000004,179.75,0.0,0.0
SAGE,40.0,20.250000000000004,19.749999999999996,0.0,0.0
TRON,55.55555555555556,20.250000000000004,35.30555555555556,0.0,0.0
PTMP,20.833333333333336,20.250000000000004,0.5833333333333321,0.0,0.0
BDKR,29.0,20.250000000000004,8.749999999999996,0.0,0.0
FUTR,42.0,20.250000000000004,21.749999999999996,0.0,0.0
PGEO,0.0,20.05,-20.05,20.05,402.00250000000005
KING,-11.538461538461538,20.05,-31.588461538461537,31.588461538461537,997.8309023668638
CHIP,58.75,20.250000000000004,38.5,0.0,0.0
HALO,25.0,20.250000000000004,4.7499999999999964,0.0,0.0
VAST,7.4074074074074066,20.05,-12.642592592592594,12.642592592592594,159.83514746227712
HILL,28.8,20.150000000000002,8.649999999999999,0.0,0.0
PACK,-29.01234567901235,20.05,-49.06234567901235,49.06234567901235,2407.113763526902
IRSX,1.98019801980198,20.049999999980948,-18.06980198017897,18.06980198017897,326.5177436028798
FWCT,12.71186440677966,20.150000000000002,-7.438135593220343,7.438135593220343,55.325861103131345
NAYZ,-21.0,20.05,-41.05,41.05,1685.1024999999997
PEVE,57.04697986577181,20.150000000000002,36.89697986577181,0.0,0.0
LAJU,45.0,20.249999999992912,24.750000000007088,0.0,0.0
BMBL,-30.851063829787236,20.05,-50.90106382978723,50.90106382978723,2590.918299004074
CBPE,36.0,20.250000000000004,15.749999999999996,0.0,0.0
SOUL,-30.0,20.05,-50.05,50.05,2505.0024999999996
SUNI,6.666666666666667,20.05,-13.383333333333333,13.383333333333333,179.1136111111111
WINE,160.46511627906978,20.250000000000004,140.21511627906978,0.0,0.0
ELIT,49.16666666666666,20.250000000000004,28.916666666666654,0.0,0.0
BEER,32.72727272727273,20.250000000000004,12.477272727272723,0.0,0.0
CBRE,58.333333333333336,20.250000000000004,38.08333333333333,0.0,0.0
VTNY,11.666666666666666,20.05,-8.383333333333335,8.383333333333335,70.2802777777778
PADA,15.0,20.150000000000002,-5.150000000000002,5.150000000000002,26.522500000000022
MMIX,31.57894736842105,20.250000000000004,11.328947368421048,0.0,0.0
ISAP,-26.041666666666668,20.150000000000002,-46.19166666666667,46.19166666666667,2133.670069444445
BELI,8.0,20.150000000000002,-12.150000000000002,12.150000000000002,147.62250000000006
KETR,-1.3333333333333337,20.150000000000002,-21.483333333333334,21.483333333333334,461.53361111111116
ZATA,258.0,20.250000000000004,237.75,0.0,0.0
KDTN,16.666666666666664,20.05,-3.3833333333333364,3.3833333333333364,11.446944444444465
NINE,-37.333333333333336,20.150000000000002,-57.483333333333334,57.483333333333334,3304.333611111111
MKTR,26.666666666666668,20.150000000000002,6.516666666666666,0.0,0.0
PRAY,-11.666666666666666,20.05,-31.71666666666667,31.71666666666667,1005.9469444444445
CBUT,24.637681159420293,20.250000000000004,4.387681159420289,0.0,0.0
PDPP,-4.992485046386719,20.150000000000002,-25.14248504638672,25.14248504638672,632.1445543077799
BSBK,220.00000000000003,20.150000000000002,199.85000000000002,0.0,0.0
OMED,27.450980392156865,20.250000000000004,7.200980392156861,0.0,0.0
COAL,280.0,20.246578188168836,259.7534218118312,0.0,0.0
MEDS,152.8,20.250000000000004,132.55,0.0,0.0
BUAH,21.649484536082475,20.250000000000004,1.399484536082472,0.0,0.0
EURO,1.4285714285714286,20.05,-18.621428571428574,18.621428571428574,346.75760204081644
CRAB,57.333333333333336,20.250000000000004,37.08333333333333,0.0,0.0
KLIN,-20.0,20.05,-40.05,40.05,1604.0024999999998
KKES,15.23809523809524,20.05,-4.81190476190476,4.81190476190476,23.154427437641704
TOOL,18.11023622047244,20.150000000000002,-2.0397637795275614,2.0397637795275614,4.160636276272562
RAFI,43.65079365079365,20.250000000000004,23.40079365079365,0.0,0.0
ELPI,37.0,20.250000000000004,16.749999999999996,0.0,0.0
JARR,80.0,20.250000000000004,59.75,0.0,0.0
RCCC,0.8818336769386574,20.05,-19.168166323061342,19.168166323061342,367.418600188543
AMMS,10.0,20.05,-10.05,10.05,101.00250000000001
KRYA,-16.0,20.05,-36.05,36.05,1299.6024999999997
AXIO,62.85714285714285,20.150000000000002,42.70714285714284,0.0,0.0
HATM,21.25,20.250000000000004,0.9999999999999964,0.0,0.0
DEWI,48.0,20.250000000000004,27.749999999999996,0.0,0.0
GULA,-2.4,20.150000000000002,-22.55,22.55,508.50250000000005
CHEM,0.0,20.05,-20.05,20.05,402.00250000000005
TRGU,200.0,20.250000000000004,179.75,0.0,0.0
SWID,-18.5,20.05,-38.55,38.55,1486.1024999999997
ASHA,280.0,20.250000000000004,259.75,0.0,0.0
OLIV,1.0,20.050000000000004,-19.050000000000004,19.050000000000004,362.90250000000015
IBOS,20.0,20.1,-0.10000000000000142,0.10000000000000142,0.010000000000000285
WINR,166.0,20.250000000000004,145.75,0.0,0.0
MTMH,24.609375,20.250000000000004,4.3593749999999964,0.0,0.0
TLDN,3.4482758620689653,20.05,-16.601724137931036,16.601724137931036,275.61724435196203
GOTO,12.42603550295858,20.150000000000002,-7.723964497041422,7.723964497041422,59.65962755155635
SICO,-12.173913043478262,20.05,-32.22391304347826,32.22391304347826,1038.3805718336484
WIRG,227.3809523809524,20.250000000000004,207.1309523809524,0.0,0.0
BIKE,47.05882352941176,20.150000000000002,26.90882352941176,0.0,0.0
STAA,40.0,20.250000000000004,19.749999999999996,0.0,0.0
NANO,60.0,20.250000000000004,39.75,0.0,0.0
SMKM,-26.51515151515152,20.05,-46.56515151515152,46.56515151515152,2168.3133356290177
NTBK,10.0,20.050000047957546,-10.050000047957546,10.050000047957546,101.00250096394669
ENAK,-7.0588235294117645,20.05,-27.108823529411765,27.108823529411765,734.8883131487889
BAUT,138.0,20.250000000000004,117.75,0.0,0.0
ASLC,17.96875,20.05,-2.0812500000000007,2.0812500000000007,4.331601562500003
NETV,226.53061224489795,20.250000000000004,206.28061224489795,0.0,0.0
SEMA,48.888888888888886,20.250000000000004,28.638888888888882,0.0,0.0
ADMR,280.0,20.150000000000002,259.85,0.0,0.0
IPPE,114.0,20.250000000000004,93.75,0.0,0.0
DRMA,14.000000000000002,20.05,-6.049999999999999,6.049999999999999,36.602499999999985
OBMD,-18.88888888888889,20.150000000000002,-39.03888888888889,39.03888888888889,1524.0348456790125
NASI,52.25806451612903,20.250000000000004,32.008064516129025,0.0,0.0
BSML,19.65811965811966,20.05,-0.3918803418803414,0.3918803418803414,0.15357020235225324
AVIA,-3.225806451612903,20.05,-23.275806451612905,23.275806451612905,541.7631659729449
CMRY,12.012987012987011,20.05,-8.03701298701299,8.03701298701299,64.59357775341546
RMKE,17.475728155339805,20.05,-2.5742718446601955,2.5742718446601955,6.626875530210206
WMPP,-5.625,20.05,-25.675,25.675,659.205625
WGSH,58.57142857142858,20.250000000000004,38.32142857142857,0.0,0.0
DEPO,33.81742738589212,20.250000000000004,13.567427385892113,0.0,0.0
TAYS,-21.666666666666668,20.05,-41.71666666666667,41.71666666666667,1740.2802777777779
BINO,7.246376811594203,20.05,-12.803623188405798,12.803623188405798,163.93276675068265
